編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
1-43,毋自然,m cii+ rhan,不舒服,佢冷着，身體毋自然。,他感冒，身體不舒服。,,形容詞,,1人體與醫療
1-44,面頰卵,mienˇ  gab lonˊ ,臉頰,老弟面頰卵項黏等飯糝。,弟弟的臉頰上黏著飯粒。,,名詞,,1人體與醫療
1-45,毛病,moˋ piang+,毛病,佢這係老毛病，好多年咧。,他這是老毛病，好多年了。,,名詞,,1人體與醫療
1-46,目眉毛,mug mi moˋ ,眉毛,目眉毛彎彎,眉毛彎彎,,名詞,,1人體與醫療
1-47,目珠矇,mug zhuˋ mung,視線模糊,佢逐日看電腦，看到目珠矇。,他每天看電腦，看到視線模糊。,,形容詞,,1人體與醫療
1-48,乳,nenˇ ,奶,食乳,喝奶,,名詞,,1人體與醫療
1-49,耳背背,ngiˊ poi+ poi+ ,聽覺不靈敏、耳背,佢仰恁後生就耳背背，老咧愛仰結煞?,他怎麼那麼年輕就耳背，老了要怎麼辦？,,形容詞,,1人體與醫療
1-50,額頭,ngiag teu,額頭,老弟額頭摸着燒炣燒炣，怕係冷着咧。,弟弟額頭摸起來有點燙燙的，恐怕是感冒了。,,名詞,,1人體與醫療
1-51,入院,ngibˋ rhanˇ ,住院,佢上隻月車禍入院。,他上個月車禍住院。,,動詞,,1人體與醫療
1-52,外科,ngoi+ koˋ ,外科,外科先生,外科醫生,,名詞,,1人體與醫療
1-53,腦屎背,noˊ shiˊ boiˇ ,後腦杓,腦屎背毋堵好搉着，還痛。,後腦杓不小心敲到，好痛。,,名詞,,1人體與醫療
1-54,腦筋,noˊ ginˋ ,腦子,"佢這人就係死腦筋。
閼到噼腦筋","他這個人就是死腦筋。
氣到中風",,名詞,,1人體與醫療
1-55,腦屎,noˊ shiˊ ,腦漿,腦屎在頭那殼裡肚，係人體當中盡重要个部分。,腦漿在頭殼裡面，是身體當中極重要的部分。,,名詞,,1人體與醫療
1-56,內科,nui+ koˋ ,內科,內科先生,內科醫生,,名詞,,1人體與醫療
1-57,愛滋病,oiˇ  ziiˋ piang+,愛滋病,這下著着愛滋病有好醫咧。,現在得到愛滋病有得醫了。,,名詞,,1人體與醫療
1-58,濞,pi+,鼻涕,流濞,流鼻涕,,名詞,,1人體與醫療
1-59,皮膚,pi  fuˋ ,皮膚,皮膚病盡毋好醫。,皮膚病很不好治。,,名詞,,1人體與醫療
1-60,病,piang+,疾病,這病還有救無?,這病還有救嗎？,,名詞,,1人體與醫療
1-61,病人,piang+ ngin,病人,醫院肚有當多病人,醫院裡有很多病人,,名詞,,1人體與醫療
1-62,偏着,pienˋ doˊ ,扭傷,"𠊎个頸根偏着，停動都毋得。
厥腳偏着，歸半隻月擎枴棍仔。","我的脖子扭傷，動也不能動。
他的腳扭傷，柺杖拄了半個月。",,動詞,,1人體與醫療
1-63,膝頭,cid teu,膝蓋,膝頭跢到烏青,膝蓋摔得瘀青,,名詞,,1人體與醫療
1-64,身高,shinˋ goˋ ,身高,佢个身高當堵好。,他的身高剛剛好。,,名詞,,1人體與醫療
1-65,手骨,shiuˊ gud,手骨,毋堵好跢倒，手骨嗄斷忒！,不小心跌倒，手骨竟然斷掉！,,名詞,,1人體與醫療
1-66,手術（開刀）,shiuˊ sudˋ (koiˋ doˋ ),手術,這擺手術當順利，兩日就做得出院咧！,這次手術很順利，兩天就可以出院了！,,名詞,,1人體與醫療
1-67,手腕,shiuˊ vonˊ ,手腕,阿姆傷着手腕，痛該下連鑊鏟都擎毋起。,媽媽手腕受傷，痛的時候連鍋鏟都拿不起來。,,名詞,,1人體與醫療
1-68,大腸,tai+ chong,大腸,飲食愛照常，大腸正毋會著病。,飲食要正常，大腸才不會病變。,,名詞,,1人體與醫療
1-69,痰, tam,痰,莫儘採呸痰,不要亂吐痰,,名詞,,1人體與醫療
1-70,頭那殼,teu na hog,頭殼,頭那殼當硬,頭殼很硬,,名詞,,1人體與醫療
1-71,腦,noˊ ,頭腦,營養足，腦就好。,營養夠，頭腦就好。,,名詞,,1人體與醫療
1-72,體重,tiˊ chungˋ ,體重,佢个細人仔體重仰恁輕？,他的小孩體重怎麼那麼輕？,,名詞,,1人體與醫療
1-73,毒,tugˋ ,毒品；具毒性的,"食毒。
有毒。
兩尾毒蛇。","吸毒。
有毒。
兩條毒蛇。",,名詞,,1人體與醫療
1-74,胃,vui+,胃,佢胃毋好，食無麼个落。,他胃不好，吃不太下。,,名詞,,1人體與醫療
1-75,鬚菇,siˋ guˋ ,短鬚、鬍渣,阿爸剃鬚剃無貼，鬚菇還會刺人。,爸爸刮鬍子沒有刮乾淨，鬍渣還刺刺的。,,名詞,,1人體與醫療
1-76,西醫,siˋ rhiˋ ,西醫,看西醫,看西醫,,名詞,,1人體與醫療
1-77,心臟,simˋ cong+,心臟,心臟病,心臟病,,名詞,,1人體與醫療
1-78,症頭,zhinˇ teu,病症,流濞係冷着个症頭。,流鼻涕是感冒的症狀。,,名詞,,1人體與醫療
1-79,嘴角,zhoiˇ gog,嘴的兩端，靠近臉頰的部位,飯糝黏在嘴角町。,飯粒黏在嘴角上。,,動詞,,1人體與醫療
1-80,注射,zhuˇ /zhiuˇ sha+,打針,緊屙痢肚愛去醫院注射。,一直拉肚子要去醫院打針。,,動詞,,1人體與醫療
1-81,醉, zuiˇ ,醉,食酒醉,喝醉,,形容詞,,1人體與醫療
1-82,顫,zhunˋ ,顫抖,好點點變天，佢冷到緊顫。,突然變天，他冷得一直顫抖。,,動詞,,1人體與醫療
1-83,中毒,zhungˇ tugˋ ,中毒,食物中毒,食物中毒,,動詞,,1人體與醫療
1-84,中風,zhungˇ fungˋ ,中風,佢毋知仰般好點點嗄中風,他不知怎麼好端端的卻中風,,名詞,動詞,1人體與醫療
1-85,腫, zhungˊ ,腫,腳腫腫,腳腫腫的,,形容詞,,1人體與醫療
2-1,懊躁（懊惱）,auˇ cauˇ (auˇ nauˇ ),懊惱,朝晨無赴着車，佢一肚懊躁,早上沒趕上車，他滿腹懊惱,,名詞,,2心理活動與感覺
2-2,悲傷,buiˋ shongˋ ,悲傷,噭到當悲傷,很悲傷地哭泣,,形容詞,,2心理活動與感覺
2-3,發閼,bod ad,生氣,聽着你恁樣講，佢心肝肚發閼歸半日。,聽到你這麼說，他心裡氣了老半天。,,動詞,,2心理活動與感覺
2-4,不幸,bud hen+,不幸,"佢一生人過到當不幸。
打早就聽着這不幸个消息","他一輩子過得很不幸。
一大早就聽到這不幸的消息",,形容詞,,2心理活動與感覺
2-5,不滿,bud manˋ ,不滿,"有麼个不滿，你做得講出來。
心肝肚十分不滿","有什麼不滿，你可以說出來。
心裡十分不滿",,形容詞,,2心理活動與感覺
2-6,撐,cangˇ,過量、充滿,煮到恁好食，會害人撐忒飽。,煮得這麼好吃，會害人吃過飽。,,動詞,,2心理活動與感覺
2-7,操煩,cauˋ fan,操煩、操心,做爺哀个，歸日仔就在該操煩細人仔。,做父母的，整天都在為小孩操心。,,動詞,,2心理活動與感覺
2-8,自在,cii+ cai+,自在,一個人戴莊下，生活當自在。,一個人住鄉下，生活很自在。,,形容詞,,2心理活動與感覺
2-9,自然,cii+ rhan,輕鬆、舒適；當然、毫無疑問地,"日仔過到當自然
在屋下著拖鞋較自然。","日子過得很舒適
在家裡穿拖鞋比較舒適。",,形容詞,,2心理活動與感覺
2-10,自信,cii+ sinˇ ,自信,佢對自家無半息自信。,他對自己沒有半點自信。,,名詞,,2心理活動與感覺
2-11,逞強,chinˊ kiong,逞強,莫恁好逞強！,不要那麼愛逞強！,,動詞,,2心理活動與感覺
2-12,重視,chung+ shi+,重視,縣長當重視這擺个活動。,縣長很重視這次的活動。,,動詞,,2心理活動與感覺
2-13,充實,chungˋ shidˋ ,充實,"這暑假過到當充實。
充實自家个能力","這暑假過得很充實。
充實自己的能力",,形容詞,動詞,2心理活動與感覺
2-14,打算,daˊ  sonˇ ,打算,你這下有麼个打算?,你現在有什麼打算？,,動詞,名詞,2心理活動與感覺
2-15,打擊,daˊ gid,打擊,阿姆過身對阿爸打擊忒大。,媽媽過世對爸爸打擊太大。,,動詞,名詞,2心理活動與感覺
2-16,鬥氣,deuˇ hiˇ ,嘔氣、賭氣,佢兩公婆鬥氣，當遽就過忒。,他們兩夫妻賭氣，很快就消氣。,,動詞,,2心理活動與感覺
2-17,知得,diˋ ded,知道,麼人知得會恁樣?,誰知道會這樣？,,動詞,,2心理活動與感覺
2-18,展風神,dienˊ fungˋ shin,出鋒頭,佢盡好展風神。,他很愛出鋒頭。,,動詞,,2心理活動與感覺
2-19,火著（發火）,foˊ chogˋ (fad foˊ ),發火、生氣,聽着佢講這種話，𠊎就火著。,聽到他講這種話，我就生氣。,,副詞,,2心理活動與感覺
2-20,煩勞,fan lo,麻煩；牽掛、擔心,"該件事𠊎自家會處理，毋使你煩勞。
你个行為正經分人當煩勞。","那件事情我自己會處理，不必麻煩你。
你的行為真的讓人很掛心。",,動詞,,2心理活動與感覺
2-21,回想,fui siongˊ ,回想,回想還細時節个事情，試着當生趣。,回想年幼時期的事情，覺得很有趣。,,動詞,,2心理活動與感覺
2-22,服,fugˋ ,佩服、服氣,做分人看，人正會服。,做給別人看，人家才會服氣。,,動詞,,2心理活動與感覺
2-23,合味,gag mui+,口味相合、協調,煮粄，滴一息酸醋盡合味。,煮粄條，滴一點醋很對味。,,形容詞,,2心理活動與感覺
2-24,合意,gag rhiˇ ,中意,這等路你有合意就好。,這伴手禮你中意就好。,,動詞,,2心理活動與感覺
2-25,感心,gamˊ simˋ ,感動,這齣電影當感心,這部電影很感人,,形容詞,,2心理活動與感覺
2-26,艱苦,ganˋ kuˊ ,難受；難過；艱苦,"胃痛當艱苦
心肝肚艱苦全無人知
屋下生活當艱苦","胃痛很難受
心裡難過都沒人知道
家裡生活很艱苦",,形容詞,,2心理活動與感覺
2-27,驚見笑,giangˋ gienˇ siauˇ ,害羞,老弟當驚見笑。,弟弟很害羞。,,動詞,,2心理活動與感覺
2-28,驚怕,giangˋ paˇ ,恐怕,恁久還無消息，驚怕會出大事。,那麼久還沒有消息，恐怕會出大事。,,動詞,,2心理活動與感覺
2-29,激動,gid tung+,激動,佢講到十分激動，好點點就昏忒咧。,他說得非常激動，忽然就昏倒了。,,形容詞,,2心理活動與感覺
2-30,決定,gied tin+,決定 ,"這還吂使恁遽決定啦！
愛做決定斯無恁該","這還不用那麼快決定啦！
要做決定可沒那麼容易",,動詞,,2心理活動與感覺
2-31,堅持,gienˋ chi ,堅持,堅持自家个想法,堅持自己的想法,,動詞,,2心理活動與感覺
2-32,噭無目汁, giauˇ mo mug zhib,欲哭無淚,車仔壞忒又無帶着錢包，這下正經噭無目汁！,車子壞掉又沒帶到錢包，這下真的欲哭無淚！,,形容詞,短語,2心理活動與感覺
2-33,過願,goˇ ngien+,過癮,正食恁多仔定，哪會過願。,才吃這麼一點而已，怎麼會過癮。,,動詞,,2心理活動與感覺
2-34,掛吊（掛心）,guaˇ diauˇ (guaˇ simˋ ),掛心,毋使掛吊,不用掛心,,動詞,,2心理活動與感覺
2-35,慣, guanˇ ,習慣,"𠊎搬出來外背戴，還吂慣。
你頭那毛剪恁短，𠊎看無麼个慣。","我搬出來外面住，還不習慣。
你頭髮剪那麼短，我看不太習慣。",,動詞,,2心理活動與感覺
2-36,慣勢,guanˇ sheˇ ,習慣於某事,"縱到慣勢
這條路𠊎輒輒行，慣勢咧。","溺愛成習
這條路我常常走，習慣了。",,動詞,,2心理活動與感覺
2-37,關心,guanˋ simˋ ,關心,去關心佢一下,去關心他一下,,動詞,,2心理活動與感覺
2-38,嚇,hag,嚇,莫恁樣嚇人！會嚇死人。,不要這樣嚇人！會嚇死人。,,動詞,,2心理活動與感覺
2-39,嫌,hiam,嫌棄,"煮飯毋好食，分屋下人嫌。
厥行為毋正，分人嫌着臭屎。","煮飯不好吃，被家人嫌棄。
他的行為不正，被人嫌到臭頭。",,動詞,,2心理活動與感覺
2-40,曉得,hiauˊ ded,會、曉得、懂得,"這題你曉得無？
你這張嘴，恁曉得食哦！","這題你會嗎？
你這張嘴，這麼懂得吃哦！",,動詞,,2心理活動與感覺
2-41,興頭,himˇ teu,興趣,佢對音樂當有興頭。,他對音樂很感興趣。,,動詞,,2心理活動與感覺
2-42,欣賞,hiunˋ /himˋ shongˊ ,欣賞,"阿姆當好欣賞風景。
頭家當欣賞佢。","媽媽很愛欣賞風景。
老闆很欣賞他。",,動詞,,2心理活動與感覺
2-43,好彩,hoˊ coiˊ ,好運,落恁大水，恁好彩堵着阿叔載你轉。,雨下那麼大，這麼幸運遇到叔叔載你回家。,,副詞,,2心理活動與感覺
2-44,怨,rhanˇ ,埋怨,"怨人
怨天怨地","埋怨人
怨天怨地",,動詞,,2心理活動與感覺
2-45,印象,rhinˇ siongˇ,印象,"𠊎對榴槤个印象當壞，毋好食。
在𠊎印象肚，佢對人當好。","我對榴槤的印象很糟，不愛吃。
在我印象裡，他對人很好。",,名詞,,2心理活動與感覺
2-46,憂傷,rhiuˋ shongˋ ,憂傷,心肝肚當憂傷,心裡十分憂傷,,形容詞,,2心理活動與感覺
2-47,接受,ziab shiu+,接受,你這種想法，𠊎無法度接受。,你這種想法，我沒辦法接受。,,動詞,,2心理活動與感覺
2-48,考慮, kauˊ li+,考慮,請你再過考慮一下。,請你再考慮一下。,,動詞,,2心理活動與感覺
2-49,儆惜,kiang+ siag ,愛惜,東西愛儆惜使用。,東西要愛惜使用。,,動詞,,2心理活動與感覺
2-50,克服,kied fugˋ ,克服,這問題當難克服。,這問題很難克服。,,動詞,,2心理活動與感覺
2-51,肯定,kienˊ tin+,肯定,佢个研究受着大家个肯定。,他的研究受到大家的肯定。,,動詞,,2心理活動與感覺
2-52,欽羨,kimˋ sienˇ ,羨慕,愛麼个就有，同學全部都當欽羨佢。,要什麼就有，同學全部都很羨慕他。,,動詞,,2心理活動與感覺
2-53,話着（恅着）,va+ doˊ (lauˊ doˊ ),以為,緊喊你，就無應，話着你無聽着咧！,一直叫你，都不回應，以為你沒聽到呢！,,動詞,,2心理活動與感覺
2-54,了解,liauˊ  gaiˊ ,了解,你了解𠊎个意思無?,你了解我的意思嗎？,,動詞,,2心理活動與感覺
2-55,戀愛,lien+ oiˇ ,戀愛,佢兩儕戀愛當多年正結婚。,他們倆談戀愛很多年才結婚。,,動詞,,2心理活動與感覺
2-56,樂意,logˋ rhiˇ ,樂意,𠊎當樂意聽你講,我很樂意聽你說,,動詞,,2心理活動與感覺
2-57,毋甘願,m gamˋ ngien+,不甘願,佢見擺搞，輸忒就毋甘願。,他每次玩，輸了就不甘願。,,動詞,,2心理活動與感覺
2-58,毋盼得,m panˇ ded,捨不得,心肝肚毋盼得,心裡捨不得,,副詞,,2心理活動與感覺
2-59,愐,menˊ ,深思,愐心事,深思心事,,動詞,,2心理活動與感覺
2-60,無意思,mo rhiˇ siiˇ ,不夠意思，通常用在說人對朋友沒義氣，或對他人的言行感到不滿,佢當無意思，原旦講好个又詐毋知。,他很不夠意思，原本說好的又假裝不知道。,,形容詞,,2心理活動與感覺
2-61,望想,mong+siongˊ ,期盼,莫望想爺哀畜你一生人。,不要期盼父母養你一輩子。,,動詞,,2心理活動與感覺
2-62,目珠赤（目珠紅）,mug zhuˋ chag (mug zhuˋ fung),嫉妒、眼紅,佢見看着人有好空就目珠赤。,他每次看到別人得到好處就嫉妒。,,動詞,,2心理活動與感覺
2-63,奈毋何,nai+ m ho,承受不了、應付不了、負荷不了；沒轍,老咧！身體奈毋何。,老了！身體受不了。,,動詞,,2心理活動與感覺
2-64,疑狐,ngi fu,懷疑,佢敢有講實話？大家都當疑狐。,他真的有說實話嗎？大家都很懷疑。,,動詞,,2心理活動與感覺
2-65,認,ngin+,辨認,佢當會認人，看過一到就記得起來。,他很會認人，看過一次就記得起來。,,動詞,,2心理活動與感覺
2-66,忍耐,ngiunˋ nai+ / ngai+,忍耐,膏藥仔，會痛乜愛忍耐。,擦藥，會痛也要忍耐。,,動詞,,2心理活動與感覺
2-67,按算,onˇ sonˇ ,預算、打算,"𠊎按算好咧！你做你放心。
這件事你按算仰般做?","我打算好了！你儘管放心。
這件事你打算怎麼做？",,動詞,,2心理活動與感覺
2-68,盼得, panˇ ded,捨得,𠊎哪盼得分你走。,我哪捨得讓你走。,,動詞,,2心理活動與感覺
2-69,清楚,cinˋ cuˊ ,清楚；明白,過忒恁久个事情，記毋清楚咧。,過去那麼久的事情，記不清楚了。,,形容詞,,2心理活動與感覺
2-70,刺激,ciug gid,刺激,這齣電影當刺激。,這部電影很刺激。,,動詞,名詞,2心理活動與感覺
