編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
1-46,屎朏,shiˊ  vud,屁股,日頭晒屎朏，好䟘起來咧,太陽晒屁股，該起來了。,,名詞,,1 人體與醫療
1-47,腳,giog,腳；腿（量詞）,洗身該下腳愛洗淨,洗澡時腳要洗乾淨。,,名詞,數/量詞,1 人體與醫療
1-48,腳趾,giog zhiˊ,腳趾,,,,名詞,,1 人體與醫療
1-49,身體,shinˋtiˊ,身體,阿姆企忒久，身體佇毋著,媽媽站太久，身體撐不住。,,名詞,,1 人體與醫療
1-50,心肝,simˋ gonˋ,心臟,佢嚇到心肝緊跳,他嚇得心跳加速。,,名詞,,1 人體與醫療
1-51,腸仔,chong  er,腸子,,,,名詞,,1 人體與醫療
1-52,骨頭,gud teu,骨頭,佢跢倒，骨頭斷忒,他跌倒，骨頭斷了。,,名詞,,1 人體與醫療
1-53,人,ngin,人,佢屋下人有五儕人,他家有五個人。,,名詞,,1 人體與醫療
2-1,飽,bauˊ,飽,食飽夜來去散步好無？,吃完晚餐後去散步好嗎？,,形容詞,,2心理活動與感覺
2-2,拚,biangˇ,賣力、拼,肯拚就會出頭天,肯打拼就會出頭天。,,動詞,,2心理活動與感覺
2-3,發夢,bod  mung+,做夢,昨暗晡發夢拉尿，還見笑,昨天晚上做夢尿床，很丟臉。,,動詞,,2心理活動與感覺
2-4,插,cab  ,插；理會,"盎仔插等一蕊花
動啊着就閼，莫插佢！","瓶子插著一朵花。
動不動就生氣，不要理他！",,動詞,,2心理活動與感覺
2-5,試着,chiˇdoˊ,認為、覺得,𠊎試着這麵包當好食,我覺得這個麵包很好吃。,,動詞,,2心理活動與感覺
2-6,著驚,chogˋgiangˋ,受驚嚇,佢喊恁大聲，害𠊎著驚,他喊那麼大聲，害我受驚嚇。,,動詞,,2心理活動與感覺
2-7,知,diˋ,知道,下禮拜愛考試，你知無？,下星期要考試，你知道嗎？,,動詞,,2心理活動與感覺
2-8,發閼,bod ad,發怒,佢自家走出去尞歸日，阿姆發閼咧！,他自己出去玩一天，媽媽生氣了！,,動詞,,2心理活動與感覺
2-9,歡喜,fonˋhiˊ,歡喜,買份等路送佢，分佢歡喜一下,買個伴手禮送他，讓他高興一下。,,名詞,,2心理活動與感覺
2-10,放心,fongˇsimˋ,放心,心肝肚毋放心,心裡不放心。,,形容詞,,2心理活動與感覺
2-11,敢,gamˊ,敢；有膽量、不畏懼,"暗晡頭自家去便所，敢抑毋敢？
佢該張嘴當敢講","晚上自己去廁所，敢不敢？
他那張嘴很敢講。",,動詞,形容詞,2心理活動與感覺
2-12,感覺,gamˊ gog,感覺,"你講佢怪怪？𠊎斯感覺毋出
轉冷咧！你無感覺係無？","你說他怪怪的？我可感覺不出來。
變冷了！你不覺得嗎？",,動詞,,2心理活動與感覺
2-13,記得,giˇded,記得,恁久無來，你還記得路無?,這麼久沒來，你還記得路嗎？,,動詞,,2心理活動與感覺
2-14,紀念,giˇngiam+,紀念,這東西當有紀念價值,這東西很有紀念價值。,,動詞,,2心理活動與感覺
2-15,驚,giangˋ,害怕,佢盡驚蛇,他很怕蛇。,,動詞,,2心理活動與感覺
2-16,見笑,gienˇsiauˇ,不好意思；慚愧,"佢滿哪仔借錢，試着當見笑
分先生罵還緊笑，毋知見笑","他到處借錢，覺得很不好意思。
被老師罵還一直笑，不知羞恥。",,動詞,,2心理活動與感覺
2-17,緊張,ginˊzhongˋ,緊張,"毋使恁緊張
緊張到舌嫲打結","不用那麼緊張。
緊張到舌頭打結。",,副詞,,2心理活動與感覺
2-18,好,hauˇ,喜好、喜歡,阿公盡好食腹內,祖父最喜歡吃內臟。,,動詞,,2心理活動與感覺
2-19,恨,hen+,恨,這種無責無任个人，你恨佢乜無用！,這種毫無責任感的人，你恨他也沒用！,,動詞,,2心理活動與感覺
2-20,幸福,hen+  fug,幸福,佢過着當幸福个日仔,他過著很幸福的日子。,,形容詞,,2心理活動與感覺
2-21,肯,henˊ,肯、願意,這擺旅行，若姆肯分你去無？,這次旅行，你媽肯讓你去嗎？,,動詞,,2心理活動與感覺
2-22,希望,hiˋ mong+,希望,"新年新希望
希望你尋着好頭路","新年新希望。
希望你找到好工作。",,動詞,,2心理活動與感覺
2-23,興趣,himˇciˇ,興趣,佢對數學當有興趣,他對數學很有興趣。,,名詞,,2心理活動與感覺
2-24,精神,zinˋshin,精神,"看起來已精神
歸暗晡無睡，佢精神當毋好","看起來很有精神。
整晚沒睡，他精神很不好。",,形容詞,名詞,2心理活動與感覺
2-25,輕鬆,kiangˋsungˋ,輕鬆,佢个頭路當輕鬆,他的工作很輕鬆。,,形容詞,,2心理活動與感覺
2-26,閼,ad,生氣,"老弟毋聽話，阿姆當閼
佢面臭臭，毋知在該閼麼个？","弟弟不聽話，媽媽很生氣。
他的臉色不好，不知道在生氣什麼？",,形容詞,動詞,2心理活動與感覺
2-27,確定,kog  tin+,明確而肯定,你愛先確定正摎𠊎講,你要先確定再跟我說。,,動詞,,2心理活動與感覺
2-28,苦,kuˊ,窮苦,佢个日仔過到當苦,他的日子過得很苦。,,形容詞,,2心理活動與感覺
2-29,快樂,kuaiˇlogˋ,快樂,"快樂過日仔
逐日就當快樂","快樂過日子。
每天都很快樂。",,形容詞,,2心理活動與感覺
2-30,理想,liˋsiongˊ,理想,"佢有當高个人生理想
佢這擺个成績毋理想","他有很遠大的人生理想。
他這次的成績不理想。",,名詞,形容詞,2心理活動與感覺
2-31,毋記得,m giˇded,不記得、忘記,壞咧！𠊎个錢毋記得帶着！,糟了！我的錢忘記帶了！,,動詞,,2心理活動與感覺
2-32,毋肯,m henˊ,不肯,阿婆毋肯𠊎緊食糖仔，驚牙齒會蛀忒,祖母不肯讓我一直吃糖果，怕會蛀牙。,,動詞,,2心理活動與感覺
2-33,毋怕,m paˇ,不要緊、沒關係,這擺無考好毋怕啦，下擺加油就好,這次沒考好不要緊啦，下次加油就好。,,副詞,,2心理活動與感覺
2-34,毋識,m shid,不認得；不曾,"十過年正見一到，這下佢毋識你咧
食恁遽做麼个?毋識食過係無？","十多年才見一次，現在他都不認得你了。
吃這麼快幹麼？不曾吃過嗎？",,動詞,副詞,2心理活動與感覺
2-35,毋知,m diˋ,不知道,逐擺就恁樣，搞到毋知好轉,每次都這樣，玩到不知道回家。,,動詞,,2心理活動與感覺
2-36,無愛,mo oiˇ,不要,佢恁魯夫，無愛摎佢尞較好,他那麼粗魯，不要跟他玩比較好。,,動詞,,2心理活動與感覺
2-37,惱,nauˋ,討厭,佢盡惱蜞蚻仔，尤其係會飛个,他非常討厭蟑螂，尤其是會飛的。,,動詞,,2心理活動與感覺
2-38,忍,ngiunˋ,忍,你斯愛忍等,你可要忍住。,,動詞,,2心理活動與感覺
2-39,餓,ngo+,餓,"就算日仔苦，乜毋會分你餓着
兩三日無食東西，佢就餓死","就算日子苦，也不會讓你挨餓。
兩三天沒吃東西，他就餓死。",,動詞,,2心理活動與感覺
2-40,愛,oiˇ,要；喜歡、愛,正餐愛食飽，莫緊食點心,正餐要吃飽，不要一直吃點心。,,動詞,,2心理活動與感覺
2-41,安心,onˋsimˋ,安心,"佢分地動嚇着，無辦法安心睡目
時間還罅，你做你安心食","他被地震嚇到，沒辦法安心睡覺。
時間還夠，你儘管安心吃。",,動詞,,2心理活動與感覺
2-42,敗勢,pai+  sheˇ,不好意思；對不起（表歉意）,"敗勢！借過一下！
正經當敗勢","不好意思！借過一下！
真的很對不起。",,形容詞,,2心理活動與感覺
2-43,平安,pin onˋ,平安,姨丈去廟肚摎屋下人求平安,姨丈去廟裡替家人祈求平安。,,形容詞,名詞,2心理活動與感覺
2-44,愁,seu,憂愁、擔心,佢一儕去臺北打拚，厥姆盡愁,他一個人去臺北打拼，他媽媽很擔心。,,動詞,,2心理活動與感覺
2-45,識,shid,認得；曾經,"無人識
看毋識
表哥識去過日本尞
目珠擘大嫲粒，毋識看過係無？","沒人認得。
看不懂。
表哥曾經去日本玩過。
眼睛睜那麼大，沒有看過嗎？",,動詞,副詞,2心理活動與感覺
2-46,失望,shid mong+,失望,爺哀對佢當失望,父母對他很失望。,,形容詞,,2心理活動與感覺
2-47,爽,songˊ,爽、舒適,"心情當爽
坐火車坐到當爽","心情很爽。
坐火車坐得很舒適。",,形容詞,,2心理活動與感覺
2-48,傷心,shongˋsimˋ,傷心,狗消忒，阿古噭到當傷心,狗死了，阿古哭得非常傷心。,,動詞,,2心理活動與感覺
2-49,貪,tamˋ,貪心,佢這人當貪，看着麼个就想愛,他這個人很貪心，看到什麼都想要。,,形容詞,,2心理活動與感覺
2-50,悿,tiamˊ,累,這駁仔趕事，加班當悿,這陣子趕工作，加班很累。,,形容詞,,2心理活動與感覺
2-51,暢,tiongˇ,高興,老妹考一百分，暢到耐毋得,妹妹考一百分，開心得不得了。,,形容詞,,2心理活動與感覺
2-52,揣,ton,推測、猜測,"分你揣到準準
揣看啊！看揣得着無？","被你猜得很準。
猜看看！看猜得到嗎？",,動詞,,2心理活動與感覺
2-53,心肝肚,simˋgonˋduˊ,心中,阿姊愛嫁，阿姆心肝肚試着當毋盼得,姊姊要嫁人，媽媽心裡感到很捨不得。,,副詞,,2心理活動與感覺
2-54,信心,sinˇsimˋ,信心,愛對自家有信心,要對自己有信心。,,名詞,,2心理活動與感覺
2-55,想,siongˊ,想,你想清楚，正摎𠊎講,你想清楚，再跟我講。,,動詞,,2心理活動與感覺
