編碼,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
5-11,桂花,goi^/guiˆ faˇ ,桂花,屋頭前種幾下頭桂花樹。,屋前種了好幾棵桂花樹。,,名詞,,5生物
5-12,菊花,kiuˊ faˇ ,菊花,菊花茶,菊花茶,,名詞,,5生物
5-13,梅花,moiˋ faˇ ,梅花,梅花係國花。,梅花是國花。,,名詞,,5生物
5-14,菅榛花,gonˇ zhinˇ faˇ ,芒草花,滿山个菅榛花,滿山的芒草花,,名詞,,5生物
5-15,棉花,mienˋ faˇ ,棉花,這領衫係棉花做个。,這件衣服是棉製的。,,名詞,,5生物
5-16,松樹,ciungˋ shi,松樹,松樹葉尖尖。,松樹葉尖尖的。,,名詞,,5生物
5-17,葡萄,puˋ tooˋ ,葡萄,葡萄真有營養,葡萄很有營養,,名詞,,5生物
5-18,藪,seu^ ,窩,燕子真愛在屋簷下做藪。,燕子很喜歡在屋簷下築巢。,,名詞,,5生物
5-19,狗藪,geu^ seu^ ,狗窩,房間像狗藪个樣。,房間像狗窩一樣。,,名詞,,5生物
5-20,吠,pui,（狗的）叫,狗吠,狗吠,,動詞,,5生物
5-21,猴,heuˋ ,猴子,猴真精,猴子很精明,,名詞,,5生物
5-22,龍,liungˋ ,龍,肖龍,屬龍,,名詞,,5生物
5-23,駱駝,loo tooˋ ,駱駝,駱駝會用在沙漠載物件。,駱駝可以在沙漠運載東西。,,名詞,,5生物
5-24,象,ciong,象,象个鼻長長。,大象的鼻子長長的。,,名詞,,5生物
5-25,獅,saiˇ ,獅子,獅真惡,獅子很凶,,名詞,,5生物
5-26,頭牲,teuˋ sangˇ ,泛指家畜家禽,供頭牲,養牲畜,,名詞,,5生物
5-27,啼,teˋ ,雞啼,天吂光即聽着雞啼。,天還沒亮就聽到雞啼。,,動詞,,5生物
5-28,屋簷鳥（屋角鳥）,bbuˊ rhiamˋ deeu^ (bbuˊ gooˊ deeu^) ,麻雀,屋簷鳥天崠飛,麻雀在天上飛,,名詞,,5生物
5-29,粉鳥,fun^ deeu^ ,鴿子,阿爸成過識在屋崠供粉鳥。,爸爸以前曾在屋頂養鴿子。,,名詞,,5生物
5-30,燕子,rhen^ zu^ ,燕子,燕子在屋簷下做藪。,燕子在屋簷下築巢。,,名詞,,5生物
5-31,鵝,ngoˋ ,鵝,陂塘底有鵝。,池塘裡有鵝。,,名詞,,5生物
5-32,孵卵,pu lon^ ,孵蛋,雞嫲孵卵,母雞孵蛋,,動詞,,5生物
5-33,蚊,munˇ ,蚊子,得蚊叮着起一大埌。,被蚊子叮到腫一大包。,,名詞,,5生物
5-34,叮,denˇ ,（被蚊蟲）叮咬,得蚊叮,被蚊子叮,,動詞,,5生物
5-35,蠶,camˋ ,蠶,蠶食桑葉,蠶吃桑葉,,名詞,,5生物
5-36,蝶,rhia,泛指蛾或蝶類,電火下有蝶在遐飛。,電燈下有蛾在那裡飛。,,名詞,,5生物
5-37,蝴蝶,bbuˋ tiabˋ ,蝴蝶,蝴蝶飛上飛下,蝴蝶飛上飛下,,名詞,,5生物
5-38,蟻子,ngi^ zu^ ,螞蟻,熱天到啊，蟻子爬出爬入，真得人慼。,夏天到了，螞蟻爬進爬出，真討人厭。,,名詞,,5生物
5-39,蟻子藪,ngi^ zu^ seu^ ,蟻巢,樹面上有蟻子藪。,樹上有蟻巢。,,名詞,,5生物
5-40,烏蠅,bbuˇ rhinˋ ,蒼蠅,食个物件收好來，毋好烏蠅叮烏蠅啄。,吃的東西收好，不要被蒼蠅汙染。,,名詞,,5生物
5-41,𧊅子,guai^ zu^ ,青蛙,"𧊅子嘓嘓咈
釣𧊅子","青蛙嘓嘓叫
釣青蛙",,名詞,,5生物
5-42,溪蝦,keˇ haˋ ,蝦子,溪蝦過河－－打卵退。,蝦子過河是倒退著走，用來比喻遇事退縮。,,名詞,,5生物
5-43,泅來泅去,siuˋ loiˋ siuˋ kuiˆ ,游來游去,魚在水底泅來泅去。,魚在水裡游來游去。,,動詞,,5生物
5-44,聲音,shangˇ rhimˇ ,聲音,唱歌个聲音足大,唱歌的聲音非常大,,名詞,,5生物
5-45,轉藪,zheen^ seu^ ,（動物）回窩,偎暗啊，粉鳥會轉藪。,傍晚，鴿子會回窩。,,動詞,,5生物
5-46,生命,sangˇ miang ,生命,生命係無價个。,生命是無價的。,,名詞,,5生物
6-1,崩硆,benˇ ngabˊ ,斷崖,轉斡遐下愛注意，正毋會跌落崩硆下。,轉彎時要小心，才不會摔到斷崖下。,,名詞,,6自然與景觀
6-2,必縫,bidˊ pung,裂縫,壁崠个必縫直直漏水。,牆壁上的裂縫一直漏水。,,動詞,,6自然與景觀
6-3,泥粉,niˋ fun^ ,灰塵,窗門面上个泥粉真賁。,窗戶上的灰塵很厚。,,名詞,,6自然與景觀
6-4,草坪,coo^ piangˋ ,草地，草原,一垤草坪,一片草地,,名詞,,6自然與景觀
6-5,島,doo^ ,島、島嶼,龜山島,龜山島,,名詞,,6自然與景觀
6-6,涿,duˊ ,淋（雨）,"涿雨
涿溼","淋雨
淋溼",,動詞,,6自然與景觀
6-7,寒天時,honˋ teenˇ shiˋ ,冬季,寒天時真寒，屋下个老儕愛小心照顧。,冬季很冷，要小心照顧家裡的老人。,,名詞,,6自然與景觀
6-8,火,foo^ ,燈；燈光,"廳下火扚落，較光。
間底火光光","客廳電燈打開來，比較亮。
房間裡燈火通明",,名詞,,6自然與景觀
6-9,火燒屋,foo^ shiooˇ bbuˊ ,火災,火燒屋，拁佢个屋下燒淨淨。,火災，把他家給燒得精光。,,動詞,,6自然與景觀
6-10,火灰,foo^ fueˇ ,灰燼,火灰會用提來洗鑊。,灰燼可以拿來洗鍋子。,,名詞,,6自然與景觀
6-11,湖,bbuˋ ,湖泊,澄清湖,澄清湖,,名詞,,6自然與景觀
6-12,颱風,taiˋ fungˇ ,颱風,這擺做颱風，真嚴重。,這次颱風，滿嚴重的。,,名詞,,6自然與景觀
6-13,光景,gongˇ gin^ ,風景,出去遶光景,出去看風景,,名詞,,6自然與景觀
6-14,光線,gongˇ sien^ ,光線,光線毋罅,光線不足,,名詞,,6自然與景觀
6-15,滾,gun^ ,沸騰,水滾啊！好泡茶啊！,水滾了！可以泡茶了！,,動詞,,6自然與景觀
6-16,氣象,ki^ siong ,氣象,逐暗夜䀴氣象報告,每晚看氣象報告,,名詞,,6自然與景觀
6-17,海洋,hoi^ rhiongˋ ,海洋,天闊地闊个海洋，䀴毋會着脣頭。,寬闊無比的海洋，看不到邊際。,,名詞,,6自然與景觀
6-18,影,rhiang^ ,影子,日頭光底下䀴影－－自䀴自大。,太陽底下看影子－－自大自滿。,,名詞,,6自然與景觀
6-19,天討光（天甫光）,teenˇ too^ gongˇ (teenˇ pu^ gongˇ) ,黎明,天討光即準備去掛紙。,黎明時就要準備去掃墓。,,副詞,,6自然與景觀
6-20,落霜,loo songˇ ,下霜,這幾下日落霜，菜凍到綿淨淨。,這幾天下霜，菜凍得爛光光。,,動詞,,6自然與景觀
6-21,落雪,loo siedˊ ,下雪,北海道落雪啊。,北海道下雪了。,,動詞,,6自然與景觀
6-22,泥,niˋ ,土,"泥沙
泥磚屋","泥沙
泥磚屋",,名詞,,6自然與景觀
6-23,泥圝,niˋ lonˋ ,泥塊,擊泥圝。,丟泥塊。,,名詞,,6自然與景觀
6-24,竻,ledˊ ,刺,挑竻,剔出刺,,名詞,,6自然與景觀
6-25,𥍉爧,ngiabˊ len^ ,閃電,外頭𥍉爧又鳴雷公。,外面閃電又打雷。,,動詞,,6自然與景觀
6-26,玉,ngiu ,玉,玉手鉗,玉製手環,,名詞,,6自然與景觀
6-27,沙坪,saˇ piangˋ ,沙灘,你想討在遐沙坪來打摔，遐即無恁快！,你想要在那沙灘上打陀螺，那可沒那麼容易！,,名詞,,6自然與景觀
6-28,山頭,sanˇ teuˋ ,山頭；山,"日頭對遐裡个山頭出來
對山頭䀴過去，係一大片个樹林。","太陽從那邊的山頭出來
從山頭看過去，是一大片的樹林。",,名詞,,6自然與景觀
6-29,霜,songˇ ,霜,"落霜。
結霜。","降霜。
結霜。",,名詞,,6自然與景觀
6-30,大陸,tai liuˊ ,大陸,地球上有七大片大陸，即係七大洲。,地球上有七大塊大陸，就是七大洲。,,名詞,,6自然與景觀
6-31,地動,ti tungˇ ,地震,921地動真搖。,921地震搖晃得很厲害。,,名詞,,6自然與景觀
6-32,地形,ti hinˋ ,地形,臺灣有真多種地形。,臺灣有很多種地形。,,名詞,,6自然與景觀
6-33,地球,ti kiuˋ ,地球,地球暖化,地球暖化,,名詞,,6自然與景觀
6-34,鐵,teedˊ ,鐵,火車路係鐵做个。,鐵軌是鐵做的。,,名詞,,6自然與景觀
6-35,烏天暗地,bbuˇ teenˇ am^ ti,天昏地暗,烏天暗地，親像會落雨个樣。,天昏地暗，好像會要下雨的樣子。,,形容詞,,6自然與景觀
6-36,么,iaunn,熄滅,風忒大，蠟燭火么去啊。,風太大，燭火熄滅了。,,動詞,,6自然與景觀
6-37,溫度,bbunˇ tu ,溫度,天氣變化恁大，夜時頭溫度加足低个。,天氣變化很大，晚上溫度又更低了。,,名詞,,6自然與景觀
6-38,四季,si^ gui^ ,四季,一年有四季。,一年有四季。,,名詞,,6自然與景觀
6-39,西北,seˇ bedˊ ,西北,冷風對西北裡吹過來。,冷風從西北方吹過來。,,名詞,,6自然與景觀
6-40,熟,shu ,指蔬果熟成,這樹崠个朳仔毋知熟吂？,這樹上的番石榴不知道熟了嗎？,,形容詞,,6自然與景觀
6-41,做大水,zoo^ tai fi^ ,鬧水災,大雨落無歇，驚會做大水。,大雨下不停，恐怕會鬧水災。,,動詞,,6自然與景觀
6-42,鑽石,zon^ sha,鑽石,打一只鑽石手鎉,訂做一只鑽石戒指,,名詞,,6自然與景觀
6-43,打（結）,da^ (giedˊ) ,結果實,牛眼正打子，猶毋會用食。,龍眼剛結果，還不能吃。,,動詞,,6自然與景觀
6-44,樹林,shi naˋ ,森林,樹林著火啊！樹做下燒淨淨。,森林著火了，樹全都燒光光。,,名詞,,6自然與景觀
6-45,塔,tabˊ ,高而尖頂的建築,佛塔,佛塔,,名詞,,6自然與景觀
7-1,包括,bauˇ guadˊ ,包含,這擺討報告个包括真多項目。,這次要報告的包含很多項目。,,動詞,,7事物狀態與變化
7-2,超過,chiooˇ goo^ ,超過,"你即莫做到傷超過。
這擺參加个人超過五十儕。","你不要做得太超過。
這次參加的人超過五十位。",,副詞,,7事物狀態與變化
7-3,幌路,ngongˋ lu,迷路，迷失,若係無認路即會幌路,如果不認路就會迷路,,動詞,,7事物狀態與變化
7-4,當然,dongˇ rhenˋ ,當然,若係講討做，當然愛做得佢好。,如果要做，當然要做到好。,,副詞,,7事物狀態與變化
7-5,反應,fan^ en^ ,反應,"佢个反應真緊。
喊佢嗄無反應。","他的反應很快。
喊他卻沒反應。",,動詞,,7事物狀態與變化
7-6,加強,gaˇ kiongˋ/kiungˋ ,加強,數學無好即愛加強練習！,數學不好就要加強練習！,,動詞,,7事物狀態與變化
7-7,隔,gaˊ ,間隔,"提一垤枋隔開
人心隔肚皮","拿一塊板子隔開來
人心隔肚皮",,動詞,,7事物狀態與變化
7-8,隔開,gaˊ koiˇ ,間隔,這青菜和魚愛隔開食。,這蔬菜和魚要間隔著吃。,,動詞,,7事物狀態與變化
7-9,減輕,giam^ kinˇ/kiangˇ ,減輕,減輕佢心內个壓力,減輕他心裡的壓力,,動詞,,7事物狀態與變化
7-10,減少,giam^ shioo^ ,減少,今年收入減少真多。,今年收入減少很多。,,動詞,,7事物狀態與變化
7-11,繼續,gi^ siu,繼續,講即按講，猶係愛繼續做啦！,講是這樣講，還是要繼續做啦！,,動詞,形容詞,7事物狀態與變化
7-12,煞,sadˊ ,結束,球賽煞啊！,球賽結束,,動詞,,7事物狀態與變化
7-13,改進,goi^ zin^ ,改進,有缺點即愛改進。,有缺點就要改進。,,動詞,,7事物狀態與變化
7-14,改善,goi^ sheen ,改善,"改善環境
這工程進度恁慢，頭家指示期限內愛改善","改善環境
這工程進度這麼慢，老闆指示期限內要改善",,動詞,,7事物狀態與變化
7-15,趁燒,tan^ shiooˇ ,趁熱,這湯正煮好，趁燒啉。,這湯剛煮好，趁熱喝。,,動詞,,7事物狀態與變化
7-16,降低,gong^ deˇ ,降低,"恁久無落雨，溪水水位降低真多。
你个聲愛降低兜，無會吵着人睡。","這麼久沒下雨，河水水位降低很多。
你音量要降低一點，不然會吵到別人睡覺。",,動詞,,7事物狀態與變化
7-17,鳴,miangˋ ,響,鐘聲一鳴，學生攔緊行入教室準備上課。,鐘聲一響，學生急忙走進教室準備上課。,,動詞,,7事物狀態與變化
7-18,影響,rhiang^ hiong^ ,影響 ,這擺颱風影響真大，失電失兩三日。,這次颱風影響很大，停電停兩三天。,,動詞,,7事物狀態與變化
7-19,進行,zin^ hangˋ ,進行,你講活動愛仰子進行？,你說活動要怎麼進行？,,動詞,,7事物狀態與變化
7-20,進步,zin^ pu,進步,"這擺考試佢進步真多。
社會進步忒緊，會跈毋會着。","這次考試他進步很多。
社會進步太快，會跟不上。",,動詞,形容詞,7事物狀態與變化
7-21,扣,keu^ ,減去,扣分,扣分,,動詞,,7事物狀態與變化
7-22,開放,koiˇ fong^ ,開放,"這食品猶吂開放進口。
工廠開放得人參觀。","這食品還沒開放進口。
工廠開放讓人參觀",,動詞,,7事物狀態與變化
7-23,䀴起來,ngiang^ ki^ loiˋ ,看起來,這身衫䀴起來真派頭。,這套衣服看起來很漂亮。,,動詞,,7事物狀態與變化
7-24,塌,labˊ ,沉入、掉落,塌落去,陷下去,,動詞,,7事物狀態與變化
7-25,離,liˋ ,離,學校離這差不多一公里。,學校離這裡差不多一公里。,,動詞,,7事物狀態與變化
7-26,離開,liˋ koiˇ ,離開,佢上禮拜離開臺灣,他上星期離開臺灣,,動詞,,7事物狀態與變化
7-27,溜落來,liuˇ loo loiˋ ,滑下來,阿妹對崎崠溜落來。,妹妹從坡頂滑下來。,,動詞,,7事物狀態與變化
7-28,配合,pue^ habˋ ,配合,請大家配合辦理,請大家配合辦理,,動詞,,7事物狀態與變化
7-29,取代,ci^ toi,取代,無人會用取代佢。,沒有人可以取代他。,,動詞,,7事物狀態與變化
7-30,即係,cidˋ he,就是,"賊即係佢
即係有你這款人，計畫正毋會進行。","小偷就是他
就是有你這種人，計畫才進行不了。",,動詞,,7事物狀態與變化
7-31,產生,san^ senˇ ,產生,這藥品產生真多問題,這藥品產生很多問題,,動詞,,7事物狀態與變化
7-32,消滅,siooˇ miedˋ/medˋ  ,消滅,多用茶箍洗手正會消滅病毒,多用肥皂洗手才會消滅病毒,,動詞,,7事物狀態與變化
7-33,失,shidˊ ,失去,"失人禮。
失面子。","失禮。
失面子（丟臉）。",,動詞,,7事物狀態與變化
7-34,適應,shidˊ en^ ,適應,入到新環境愛慢慢子適應。,進到新環境要慢慢適應。,,動詞,,7事物狀態與變化
7-35,煞,sadˊ ,完畢、結束,講毋會煞,講個不停,,動詞,,7事物狀態與變化
7-36,達到,tadˋ doo^,達到,為着討達到目標，佢真拚勢。,為了要達到目標，他很努力。,,動詞,,7事物狀態與變化
7-37,提高,teˋ gooˇ ,提高,愛想辦法提高果子个產量,要想辦法提高水果的產量,,動詞,,7事物狀態與變化
7-38,斷,tonˇ ,斷裂,"斷截。
斷去。","斷成段狀。
斷掉。",,動詞,形容詞,7事物狀態與變化
7-39,完成,bbienˋ shinˋ ,完成,這件事情，下班以前愛完成。,這件事情，下班以前要完成。,,動詞,,7事物狀態與變化
7-40,加添,gaˇ teemˇ ,增加,過年貼門聯，會用加添一兜仔喜氣,過年貼上春聯，可以增加一點喜氣,,動詞,,7事物狀態與變化
7-41,照,zhioo^ ,按照,"你即照實講，無要緊。
就照佢講个做，會用無?","你就照實講，無妨。
就照他說的做，可以嗎？",,動詞,,7事物狀態與變化
7-42,準,zhin^ ,當做,糖毋會用準飯食。,糖果不能當做飯吃。,,動詞,,7事物狀態與變化
8-1,包袱,bauˇ fu,包袱；行李,韶日討出國，好去款包袱啊！,明天要出國，該去整理行李了！,,名詞,,8居家生活
8-2,包袱,bauˇ fu,背包,阿伯背包袱去旅行。,老伯背著背包去旅行。,,名詞,,8居家生活
8-3,袋,toi,袋子；口袋,塑膠袋、褲袋,塑膠袋、褲子口袋,,名詞,,8居家生活
8-4,番子火,fanˇ zu^ foo^ ,火柴,一盒番子火,一盒火柴,,名詞,,8居家生活
8-5,刀嫲,dooˇ maˋ ,柴刀,擎刀嫲剁樵,拿柴刀砍柴,,名詞,,8居家生活
8-6,撿樵,giam^ ciooˋ ,撿拾柴草,撿樵來燒火,撿拾柴草來燒火,,動詞,,8居家生活
8-7,刜草,pudˋ coo^ ,用伐刀斬除雜草,掛紙前兩日，阿叔去刜草。,掃墓前兩天，叔叔去除草。,,動詞,,8居家生活
8-8,補,bu^ ,補,"補鑊
補皮鞋","修補鍋子
修補皮鞋",,動詞,,8居家生活
8-9,膏,gooˋ ,漿糊,提膏黏核。,拿漿糊黏著。,,名詞,,8居家生活
8-10,茶箍,caˋ guˇ/kuˇ ,肥皂,一垤茶箍,一塊肥皂,,名詞,,8居家生活
8-11,結,giedˊ ,結,打一個結,打個結,,名詞,,8居家生活
8-12,過日,goo^ ngidˊ ,過日子,靠退休金過日,靠退休金過日子,,動詞,,8居家生活
8-13,用品,rhung pin^ ,用品,一個月買一擺生活用品。,一個月買一次生活用品。,,名詞,,8居家生活
8-14,修嘴鬚,siuˇ zhe^ siˇ ,刮鬍子,下頜先用燒面帕揞一下，正較好修嘴鬚。,下巴先用熱毛巾敷一下，才比較好刮鬍渣。,,動詞,,8居家生活
8-15,剪刀,zien^ dooˇ ,剪刀,阿英擎剪刀剪布做衫。,阿英拿剪刀剪布做衣服。,,名詞,,8居家生活
8-16,棍子,gun^ zu^ ,棍子,"一支棍子。
這棍子恁大支，驚足重哦。","一根棍子。
這棍子這麼粗，恐怕很重喔。",,名詞,,8居家生活
8-17,盎,angˇ ,瓶子；甕,"糖盎
酒盎","糖罐子
酒瓶",,名詞,,8居家生活
8-18,材料,caiˋ leeu ,材料,建築材料有真多種。,建築材料有很多種。,,名詞,,8居家生活
8-19,掃把,soo^ ba^ ,掃把,掃把斷去，愛擱買啊。,掃把斷掉，要再買了。,,名詞,,8居家生活
8-20,祛齊,kia ceˋ ,竹掃帚,用祛齊掃泥下个葉。,用竹掃帚掃地上的葉子。,,名詞,,8居家生活
8-21,畚斗,bun^ deu^ ,畚斗,提畚斗拁垃圾抔出去。,拿畚斗把垃圾裝出去。,,名詞,,8居家生活
8-22,擎針,kiaˋ zhimˇ ,做針黹的事,佢擎針補爛去个衫。,他拿針縫補破掉的衣服。,,動詞,名詞,8居家生活
8-23,攣,lienˋ ,縫,阿依擎針線攣衫褲。,媽媽拿針線縫補衣服。,,動詞,,8居家生活
8-24,衫櫥,samˇ chiˋ ,衣櫥,阿姊房間內底个衫櫥，衫裝到淰淰。,姊姊房裡的衣櫥，衣服裝得滿滿的。,,名詞,,8居家生活
8-25,褲腳尾,ku^ giooˊ muiˇ ,褲管下方,褲腳尾摺起來，正毋會溼去。,褲腳捲起來，才不會溼掉。,,名詞,,8居家生活
8-26,服裝,fu zongˇ ,服裝,夜市賣个服裝價數較便宜。,夜市賣的服裝價格較便宜。,,名詞,,8居家生活
8-27,花衫,faˇ samˇ ,花上衣,花衫合牛子褲真時行。,花上衣搭配牛仔褲很流行。,,名詞,,8居家生活
8-28,裌子,gabˊ zu^ ,背心,一領裌子,一件背心,,名詞,,8居家生活
8-29,圍巾,bbiˋ gunˇ ,圍巾,一條圍巾,一條圍巾,,名詞,,8居家生活
8-30,襖,oo^ ,棉襖,恁熱猶著着襖。,這麼熱還穿著棉襖。,,名詞,,8居家生活
8-31,衫支尾,samˇ ginnˇ muiˇ ,衣後腳、衣腳,遐個細子揪着厥依个衫支尾。,那孩子拉著他母親的衣腳。,,名詞,,8居家生活
8-32,晾,langˋ ,晾、晒（衣服）,衫褲愛晾在竹篙面上，正較快燥。,衣服要晒在竹竿上，才比較快乾。,,動詞,,8居家生活
8-33,扇,sheen^ ,扇子,撥扇,搧扇子,,名詞,,8居家生活
8-34,被,piˇ ,被子（統稱）,"入被。
炙被。","將被胎裝入被套中。
晒被子。",,名詞,,8居家生活
8-35,被,piˇ ,棉被的被胎,恁好天！被擎出來炙炙个！,天氣這麼好！被胎拿出來晒一晒！,,名詞,,8居家生活
8-36,枕頭,zhim^ teuˋ ,枕頭,兩粒枕頭,兩個枕頭,,名詞,,8居家生活
8-37,皮帶,piˋ dai^ ,皮帶,繫皮帶,繫皮帶,,名詞,,8居家生活
8-38,別莊,pedˋ zongˇ ,別墅,佢在自家个土地起別莊。,他在自己的地蓋別墅。,,名詞,,8居家生活
8-39,蹛,dai^ ,長住、居住,𠊎在臺北稅屋蹛。,我在臺北租房子住。,,動詞,,8居家生活
8-40,歇,hiedˊ ,短住、住宿,在飯店歇一夜,在飯店住一晚,,動詞,,8居家生活
8-41,蚊幮,munˇ chiˋ ,蚊帳,吊蚊幮，正毋會得蚊叮。,掛蚊帳，才不會被蚊子叮。,,名詞,,8居家生活
8-42,網,miong^ ,網,"蜘蛛織網來捉蟲。
三日打魚四日炙網","蜘蛛織網來捕蟲子。
三天打魚四天晒網",,名詞,,8居家生活
8-43,門聯,munˋ lienˋ ,門上的對聯,貼門聯,貼門聯,,名詞,,8居家生活
8-44,門斗,munˋ deu^ ,門檻,𨃰門斗。,跨門檻。,,名詞,,8居家生活
8-45,紙條,zhi^ teeuˋ ,紙條,出門進前，留一張紙條得阿依安心。,出門前，留張紙條讓媽媽放心。,,名詞,,8居家生活
8-46,鈕子,neeu^/neuˆ zu^ ,鈕扣,安鈕子,裝鈕扣,,名詞,,8居家生活
8-47,牙膏,ngaˋ gooˇ ,牙膏,一條牙膏,一條牙膏,,名詞,,8居家生活
8-48,洗牙,se^ ngaˋ ,刷牙,晨早起來愛洗牙。,早上起床要刷牙。,,動詞,,8居家生活
8-49,盪嘴,tongˇ zhe^ ,漱口,食過物件，無洗牙，至少嘛愛盪嘴。,吃過東西，沒有刷牙，至少也要漱口。,,動詞,,8居家生活
8-50,黏,neemˋ ,沾黏,苦楝癀黏在褲面上。,鬼針草黏在褲子上。,,動詞,,8居家生活
8-51,尿桶,neeu tung^ ,尿桶,尿桶莫擐到間底，味真重。,尿桶不要提到房間，味道很重。,,名詞,,8居家生活
8-52,盆,punˋ ,盆,"面盆、腳盆
恁大盆","臉盆、澡盆　
那麼大盆",,名詞,,8居家生活
8-53,盆斗,punˋ deu^ ,盆子,盆斗缽,鍋碗瓢盆,,名詞,,8居家生活
8-54,歕火,punˋ foo^ ,對著火吹氣,成擺用灶煮飯遐下，無歕火，火毋會猛。,以前用灶煮飯時，沒有對著火吹氣，火不會猛烈。,,動詞,,8居家生活
8-55,日記,ngidˊ gi^ ,日記,𠊎有寫日記个習慣。,我有寫日記的習慣。,,名詞,,8居家生活
8-56,日曆,ngidˊ ledˋ ,日曆,日曆愛逐日扯。,日曆要每天撕。,,名詞,,8居家生活
8-57,時鐘,shiˋ zhungˇ ,時鐘,時鐘吊个，一入門即䀴會着。,時鐘掛著，一進門就看得到。,,名詞,,8居家生活
8-58,鎖匙,soo^ shiˋ ,鑰匙,一支鎖匙,一支鑰匙,,名詞,,8居家生活
8-59,水杓,fi^ shoo/shioo,泛指水瓢,"用水杓舀水
瓠瓜老啊留來做水杓。","用水瓢舀水
瓠瓜老了留著做成水瓢。",,名詞,,8居家生活
8-60,樹乳,shi neenˇ ,橡皮筋,毋會使用樹乳射人。,不可以用橡皮筋射人。,,名詞,,8居家生活
8-61,手橐,shiu^ lobˊ ,手套,一雙手橐,一雙手套,,名詞,,8居家生活
8-62,手電,shiu^ teen,手電筒,手電愛有電藥正會光。,手電筒要有電池才會亮。,,名詞,,8居家生活
8-63,手扣,shiu^ keu^,袖套,戴手扣,戴袖套,,名詞,,8居家生活
8-64,書架,shiˇ ga^ ,書架,佢个書架面上有足多學客事个書。,他的書架上有很多學客語的書。,,名詞,,8居家生活
8-65,撿揫,giam^ ciuˇ ,收拾,食飽愛撿揫,吃飽要收拾,,動詞,,8居家生活
8-66,水道水,fi^ too fi^ ,自來水,屋下大體用水道水。,家裡大多用自來水。,,名詞,,8居家生活
8-67,水槽,fi^ cooˋ ,水槽,若係有閒，水槽鑢鑢个。,如果有空，水槽刷一刷。,,名詞,,8居家生活
8-68,水塔,fi^ tabˊ ,水塔,水塔得颱風吹倒去。,水塔被颱風吹倒。,,名詞,,8居家生活
8-69,地毯,ti tan^ ,地毯,地毯恁屙糟，仰子毋拚掃咧？,地毯那麼髒，怎麼不打掃呢？,,名詞,,8居家生活
8-70,電頭毛店,teen teuˋ hmˇ deem^ ,髮廊、理髮店,阿姨開一間電頭毛店。,阿姨開了一間髮廊。,,名詞,,8居家生活
8-71,電頭毛,teen teuˋ hmˇ ,燙髮,年過了，電頭毛會較便宜。,過完年，燙髮會比較便宜。,,動詞,,8居家生活
8-72,電線,teen sien^ ,電線,電線若係燒去，遐即危險啊！,電線如果燒掉，那可就危險了！,,名詞,,8居家生活
8-73,電鑊,teen bboo,電鍋,用電鑊煮飯真利便。,用電鍋煮飯很方便。,,名詞,,8居家生活
8-74,天窗,teenˇ cungˇ ,天窗,有天窗光線較足。,有天窗光線比較足夠。,,名詞,,8居家生活
8-75,圍牆,bbiˋ ciongˋ ,圍牆,遐火灶个圍牆崠炙足多鹹菜。,那家人的圍牆上晒了很多鹹菜。,,名詞,,8居家生活
8-76,桶,tung^ ,桶,一桶水,一桶水,,名詞,數/量詞,8居家生活
8-77,位,bbi,位子,佢个位空空，你會使坐。,他的位子空空的，你可以坐。,,名詞,,8居家生活
8-78,坪,piangˋ ,晒穀場,成過會在禾坪面上炙穀。,以前會在晒穀場晒穀。,,名詞,,8居家生活
8-79,碗櫥,bban^ chiˋ ,碗櫥,碗櫥下格囥碗箸。,碗櫥下層放碗筷。,,名詞,,8居家生活
8-80,燒水罐,shiooˇ fi^ guan^ ,熱水瓶,一支燒水罐,一個熱水瓶,,名詞,,8居家生活
8-81,射,sha,噴,"這菜有射藥
洗車遐下，水毋好射着人。","這菜有噴農藥。
洗車的時候，水不要噴到人家。",,動詞,,8居家生活
8-82,箱子,siongˇ zu^ ,箱子,阿妹想討加買兩隻箱子。,妹妹想多買兩個箱子。,,名詞,,8居家生活
8-83,廳下,tenˇ haˇ ,正廳,公媽龕安在廳下內底奉祀。,祖先牌位安置在正廳內祭拜。,,名詞,,8居家生活
8-84,主人,zhi^ nginˋ ,主人,主人猶吂食，你仰子會用先食？,主人還沒吃，你怎麼可以先吃？,,名詞,,8居家生活
8-85,大落屋,tai loo bbuˊ ,以伙房為型制的建築,阿豪成擺蹛大落屋，這下即無啊。,阿豪以前住伙房屋，現在沒有了。,,名詞,,8居家生活
8-86,飲食,rhim^ shiedˋ ,飲食,飲食無正常，早慢身體會出問題。,飲食不正常，早晚身體會出問題。,,名詞,,8居家生活
8-87,食品,shiedˋ pin^ ,食品,這下真多烏心食品。,現在很多黑心食品。,,名詞,,8居家生活
8-88,四秀,si^ siu^ ,零食,四秀毋好食忒多。,零食不要吃太多。,,名詞,,8居家生活
8-89,擦,cadˊ ,刨成絲狀或片狀,擦番薯籤,刨番薯籤,,動詞,,8居家生活
8-90,熬,ngauˋ ,以緩火慢煮,暗夜阿依熬菜頭湯。,媽媽今晚煮蘿蔔湯。,,動詞,,8居家生活
8-91,冷水,lenˇ fi^ ,生水、未煮沸過的水；溫度低的水,"冷水莫食，會屙落屎。
水恁燒，敨兜仔冷水落去正會用洗浴。","不要喝生水，會拉肚子。
水那麼燙，摻一些冷水下去才能洗澡。",,名詞,,8居家生活
