編碼,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
1-43,無堵好,moˋ du^ hoo^ ,不舒服,佢寒着，身體無堵好。,他感冒，身體不舒服。,,形容詞,,1人體與醫療
1-44,嘴䫌（面頰卵）,zhe^ pe^ (mien^ gabˊ lon^) ,臉頰,阿弟嘴䫌面上黏着飯粒。,弟弟的臉頰上黏著飯粒。,,名詞,,1人體與醫療
1-45,病,piang,毛病,佢這係舊病，真多年啊。,他這是老毛病，好多年了。,,名詞,,1人體與醫療
1-46,目眉,hmˊ niˋ ,眉毛,目眉彎彎,眉毛彎彎,,名詞,,1人體與醫療
1-47,目珠茫茫,mudˊ zhiˇ mongˋ mongˋ ,視線模糊,佢逐日䀴電腦，䀴到目珠茫茫。,他每天看電腦，看到視線模糊。,,形容詞,,1人體與醫療
1-48,乳,neenˇ ,奶,食乳,喝奶,,名詞,,1人體與醫療
1-49,重耳空（背耳）,chungˇ ngi^ kungˇ (pue ngi^) ,聽覺不靈敏、耳背,佢仰子恁少年即重耳空，老啊愛仰子正好？,他怎麼那麼年輕就耳背，老了要怎麼辦？,,形容詞,,1人體與醫療
1-50,額頭,ngiaˊ teuˋ ,額頭,阿弟个額頭摸起來小可燒燒，驚係寒着啊。,弟弟額頭摸起來有點燙燙的，恐怕是感冒了。,,名詞,,1人體與醫療
1-51,入院,ngibˋ innˇ ,住院,佢上個月車禍入院。,他上個月車禍住院。,,動詞,,1人體與醫療
1-52,外科,nguai kooˇ ,外科,外科先生,外科醫生,,名詞,,1人體與醫療
1-53,後斗殼,heu deu^ kogˋ ,後腦杓,後斗殼無堵好搉着，真疾。,後腦杓不小心敲到，好痛。,,名詞,,1人體與醫療
1-54,腦筋,nau^ gunˇ ,腦子,"佢這個人即係死腦筋。
氣到噼腦筋","他這個人就是死腦筋。
氣到中風",,名詞,,1人體與醫療
1-55,頭那髓,teuˋ naˋ cueˋ ,腦漿,頭那髓在頭那殼內底，係人體內底頭重要个部分。,腦漿在頭殼裡面，是身體當中極重要的部分。,,名詞,,1人體與醫療
1-56,內科,nui kooˇ ,內科,內科先生,內科醫生,,名詞,,1人體與醫療
1-57,愛滋病,oi^ zuˇ piang,愛滋病,現時著着愛滋病有好醫啊。,現在得到愛滋病有得醫了。,,名詞,,1人體與醫療
1-58,濞,pinn,鼻涕,流濞,流鼻涕,,名詞,,1人體與醫療
1-59,皮膚,piˋ fuˇ ,皮膚,皮膚病足難醫。,皮膚病很不好治。,,名詞,,1人體與醫療
1-60,病,piang ,疾病,這病猶有救無？,這病還有救嗎？,,名詞,,1人體與醫療
1-61,病人,piang nginˋ ,病人,病院內底有真多病人,醫院裡有很多病人,,名詞,,1人體與醫療
1-62,㞇着,uainn^ choo,扭傷,"𠊎个頸㞇着，攏無法度停動。
佢个腳㞇着，枴子擎歸半個月。","我的脖子扭傷，動也不能動。
他的腳扭傷，枴杖拄了半個月。",,動詞,,1人體與醫療
1-63,膝頭,cidˊ teuˋ ,膝蓋,膝頭跌到烏青,膝蓋摔得瘀青,,名詞,,1人體與醫療
