編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
11-7,自行車,cii+ hang chaˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-007.mp3,腳踏車,騎自行車愛注意車仔,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-007s.mp3,騎自行車要注意車子。,,名詞,,11通訊、建設與交通
11-8,住址,chuˇzhiˊ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-008.mp3,住址,住址留下來，正好尋你,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-008s.mp3,留一下住址，才方便找你。,,名詞,,11通訊、建設與交通
11-9,擋仔,dongˇ er,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-009.mp3,煞車（名詞）,踏擋仔,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-009s.mp3,踩煞車。,,名詞,,11通訊、建設與交通
11-10,飛機場,fuiˋ giˋ chong,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-010.mp3,機場,臺灣最大个飛機場在桃園,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-010s.mp3,臺灣最大的機場在桃園。,,名詞,,11通訊、建設與交通
11-11,火車,foˊ chaˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-011.mp3,火車,坐火車去花蓮,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-011s.mp3,坐火車去花蓮。,,名詞,,11通訊、建設與交通
11-12,火車頭,foˊchaˋteu,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-012.mp3,火車站,火車頭該位當鬧熱,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-012s.mp3,火車站那裡很熱鬧。,,名詞,,11通訊、建設與交通
11-13,紅毛泥,fung moˋ nai,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-013.mp3,水泥,攪紅毛泥,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-013s.mp3,攪拌水泥。,,名詞,,11通訊、建設與交通
11-14,計程車(他庫西),geˇ chang chaˋ(ta+ ku siˋ),https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-014.mp3,計程車,落大水，打電話喊計程車好咧！,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-014s.mp3,下大雨，打電話叫計程車好了！,,名詞,,11通訊、建設與交通
11-15,街,gaiˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-015.mp3,街,佢戴在中央二街,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-015s.mp3,他住在中央二街。,,名詞,,11通訊、建設與交通
11-16,高鐵,goˋ tied,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-016.mp3,高速鐵路,坐高鐵出差當利便,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-016s.mp3,坐高鐵出差很方便。,,名詞,,11通訊、建設與交通
11-17,廣告,gongˊ goˇ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-017.mp3,廣告,這廣告花忒不少錢哦？,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-017s.mp3,這廣告花了不少錢哦？,,名詞,,11通訊、建設與交通
11-18,公園,gungˋ rhan,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-018.mp3,公園,老人家在公園町行棋,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-018s.mp3,老人家在公園裡下棋。,,名詞,,11通訊、建設與交通
11-19,汽車,hiˇchaˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-019.mp3,汽車,,,,,名詞,,11通訊、建設與交通
11-20,巷仔,hong+ er,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-020.mp3,巷子,"臺北市有當多巷仔
細巷仔當暗，你斯愛細義",https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-020s.mp3,"臺北市有很多巷弄。
小巷子很暗，你要小心。",,名詞,,11通訊、建設與交通
11-21,泅水池,ciu shuiˊchi,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-021.mp3,游泳池,去泅水池尋教練學泅水,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-021s.mp3,去游泳池找教練學游泳。,,名詞,,11通訊、建設與交通
11-22,區,kiˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-022.mp3,區,佢戴士林區,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-022s.mp3,他住士林區。,,名詞,,11通訊、建設與交通
11-23,騎,ki,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-023.mp3,騎,"騎車仔愛注意安全
這自行車恁高，等你較大正做得騎",https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-023s.mp3,"騎車要注意安全。
這自行車那麼高，等你比較大時才可以騎。",,動詞,,11通訊、建設與交通
11-24,橋,kiau,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-024.mp3,橋,這條橋舊年分大水打走,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-024s.mp3,這座橋去年被大水沖走。,,名詞,,11通訊、建設與交通
11-25,樓,leu,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-025.mp3,樓,佢戴十二樓,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-025s.mp3,他住十二樓。,,名詞,,11通訊、建設與交通
11-26,路,lu+ ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-026.mp3,路,中山路,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-026s.mp3,中山路。,,名詞,,11通訊、建設與交通
11-27,捷運,ciabˋ rhun+,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-027.mp3,捷運,坐捷運,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-027s.mp3,坐捷運。,,名詞,,11通訊、建設與交通
