編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-22,護士,fu su,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-022.mp3,護士,做護士，愛有耐心,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-022s.mp3,當護理師，要有耐心。,,名詞,,1人體與醫療
1-23,掛號,gua^ hoo,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-023.mp3,掛號,去病院掛號,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-023s.mp3,去醫院掛號。,,動詞,,1人體與醫療
1-24,藥,rhioo,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-024.mp3,藥,"愛記得食藥
阿依寒着，去藥房合藥
這菜無噴藥，會用安心食",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-024s.mp3,"要記得吃藥。
媽媽感冒，去藥局配藥。
這菜沒有噴農藥，可以放心食用。",,名詞,,1人體與醫療
1-25,啄睡,duˊ fe,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-025.mp3,打瞌睡,無睡飽會啄睡,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-025s.mp3,沒睡飽會打瞌睡。,,動詞,,1人體與醫療
1-26,頭那,teuˋ naˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-026.mp3,頭,歸日頭那疾,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-026s.mp3,整天頭痛。,,名詞,,1人體與醫療
1-27,頭那毛,teuˋ naˋ hmˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-027.mp3,頭髮,剃頭那毛,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-027s.mp3,理頭髮。,,名詞,,1人體與醫療
1-28,額頭,ngiaˊ teuˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-028.mp3,額頭,,,,,名詞,,1人體與醫療
1-29,目眉,hmˊ niˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-029.mp3,眉毛,,,,,名詞,,1人體與醫療
1-30,目珠,mudˊ zhiˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-030.mp3,眼睛,老啊！目珠花花,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-030s.mp3,老了！眼睛濛濛的。,,名詞,,1人體與醫療
1-31,目汁,hmˊ zhibˊ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-031.mp3,眼淚,講佢兩句，即目汁直直流,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-031s.mp3,說他兩句，就一直掉眼淚。,,名詞,,1人體與醫療
