編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
11-11,火車,foˋ chaˇ【fo^ caˇ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-011.mp3,火車,坐火車去花蓮,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-011s.mp3,坐火車去花蓮,,名詞,,11通訊、建設與交通
11-12,火車頭(火車站),foˋchaˇteu (foˋchaˇzhamˋ)【fo^ caˇteuˋ(fo^ caˇzam^ )】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-012.mp3,火車站,火車頭該位當鬧熱,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-012s.mp3,火車站那裡很熱鬧。,,名詞,,11通訊、建設與交通
11-13,紅毛泥,fung moˇ(muˇ) ni【fungˋmoˇneˋ/fungˋ muˇ(moˇ) niˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-013.mp3,水泥,攪紅毛泥,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-013s.mp3,攪拌水泥,,名詞,,11通訊、建設與交通
11-14,計程車,gieˋ chang chaˇ(ta kuˋ shiˋ)【gie^ cangˋcaˇ/gie^ cangˋ caˇ(ta ku^ si^ )】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-014.mp3,計程車,落大雨，打電話喊計程車好咧!,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-014s.mp3,下大雨，打電話叫計程車好了！,,名詞,,11通訊、建設與交通
11-15,街,gieˇ,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-015.mp3,街,佢戴在中央二街,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-015s.mp3,他住在中央二街。,,名詞,,11通訊、建設與交通
11-16,高鐵,goˇtiedˋ【goˇtedˋ/goˇtiedˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-016.mp3,高速鐵路,坐高鐵出差當利便,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-016s.mp3,坐高鐵出差很方便。,,名詞,,11通訊、建設與交通
11-17,廣告,gongˋ goˋ【gong^ go^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-017.mp3,廣告,這廣告花忒（花撇／花忒）不少錢哦?,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-017s.mp3,這廣告花了不少錢哦？,,名詞,,11通訊、建設與交通
11-18,公園,gungˇ vien【gungˇvenˋ/gungˇ ienˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-018.mp3,公園,老人家在公園肚行棋仔,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-018s.mp3,老人家在公園裡下棋。,,名詞,,11通訊、建設與交通
11-19,汽車,hiˋ chaˇ【ki^ caˇ/hi^ caˇ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-019.mp3,汽車,,,,,名詞,,11通訊、建設與交通
11-20,巷仔【巷／巷仔】,hongˊ erˋ【hong/hong  e^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-020.mp3,巷子,"臺北市有當多巷仔（巷/巷仔）。
細巷仔（巷/巷仔）當暗，你斯愛細義。",https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-020s.mp3,"臺北市有很多巷弄。
小巷子很暗，你要小心。",,名詞,,11通訊、建設與交通
11-21,泅水池,ciu fiˋ chi【siuˋfi^ ciˋ/ciuˋ fi^ ciiˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-021.mp3,游泳池,去泅水池尋教練學泅水,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-021s.mp3,去游泳池找教練學游泳,,名詞,,11通訊、建設與交通
11-22,區,kiˇ,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-022.mp3,區,佢戴士林區,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-022s.mp3,他住士林區。,,名詞,,11通訊、建設與交通
11-23,騎,ki【kiˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-023.mp3,騎,"騎車仔（車／車仔）愛注意安全。
這自行車（鐵馬／自行車）恁高，等你較大正做得騎。",https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-023s.mp3,"騎車要注意安全
這自行車那麼高，等你比較大時才可以騎。",,動詞,,11通訊、建設與交通
11-24,橋,kiau【kiauˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-024.mp3,橋,這條橋舊年分大水打走,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-024s.mp3,這座橋去年被大水沖走。,,名詞,,11通訊、建設與交通
11-25,樓,leu 【leuˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-025.mp3,樓,佢戴十二樓,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-025s.mp3,他住十二樓。,,名詞,,11通訊、建設與交通
11-26,路,luˊ【lu】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-026.mp3,路,中山路,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-026s.mp3,中山路,,名詞,,11通訊、建設與交通
11-27,捷運,ciab vinˊ(rhiunˊ)【ciab rhiun/ciab iun】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-027.mp3,捷運,坐捷運,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-027s.mp3,坐捷運,,名詞,,11通訊、建設與交通
11-28,駛,siiˋ【sii^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-028.mp3,駕駛、開(車),"阿爸係駛計程車个。
你係愛用車仔（車／車仔），做得借你駛。",https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-028s.mp3,"爸爸是開計程車的。
你如果要用車，可以借你開。",,動詞,,11通訊、建設與交通
11-29,市,shiˊ【si/sii】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-029.mp3,市,臺南市,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-029s.mp3,臺南市,,名詞,,11通訊、建設與交通
11-30,船,shan【senˋ/sanˋ(sonˋ)】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-030.mp3,船,高雄港有當多船,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-030s.mp3,高雄港有很多船,,名詞,,11通訊、建設與交通
11-31,手機,shiuˋgiˇ【siu^ giˇ/su^ giˇ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-031.mp3,手機,緊爽手機，目珠會壞忒（壞撇／壞忒）！,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-031s.mp3,一直玩手機，眼睛會壞掉！,,名詞,,11通訊、建設與交通
11-32,電話【電話／電話(電事)】,tienˊ faˊ(tienˊ faˋ)【ten fa/tien fa(tien sii)】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-032.mp3,電話,有事情就打電話分阿銘,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-032s.mp3,有事情就打電話給阿銘。,,名詞,,11通訊、建設與交通
11-33,電腦,tienˊ noˋ【ten no^/tien no^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-033.mp3,電腦,爽電腦,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-033s.mp3,玩電腦,,名詞,,11通訊、建設與交通
11-34,電梯,tienˊ toiˇ【ten  toiˇ/tien  toiˇ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-034.mp3,電梯,你个東西恁多，坐電梯較省力,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-034s.mp3,你的東西那麼多，坐電梯比較省力。,,名詞,,11通訊、建設與交通
11-35,奧多拜,oˇdo baiˋ【oˇdoˋ bai^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-11-035.mp3,機車,騎奧多拜,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-11-035s.mp3,騎機車,,名詞,,11通訊、建設與交通
12-1,賺【趁／賺】,conˊ【tan^/con】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-001.mp3,賺,經濟毋好，賺（趁/賺）毋着來食,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-001s.mp3,經濟差，很難賺錢維生。,,動詞,,12職業與經濟
12-2,賺錢【趁錢／賺錢】,conˊ cien【tan^ cenˋ/con  cienˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-002.mp3,賺錢,賺錢（趁錢/賺錢）賺（趁／賺）毋着來使,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-002s.mp3,賺錢賺得不夠花,,動詞,,12職業與經濟
12-3,伸,chunˇ【cunˇ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-003.mp3,剩餘,屋下米伸無幾多,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-003s.mp3,家裡米剩沒多少,,動詞,,12職業與經濟
12-4,店,diamˋ【diam^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-004.mp3,店鋪,這店生理當好,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-004s.mp3,這間店生意很好。,,名詞,,12職業與經濟
12-5,發票,fadˋ piauˋ【fadˋpiau^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-005.mp3,發票,發票兩隻（個／隻）月對獎一到（擺）,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-005s.mp3,發票每兩個月兌獎一次。,,名詞,,12職業與經濟
12-6,飯店,ponˊdiamˋ【pon  diam^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-006.mp3,飯店,在飯店歇一夜,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-006s.mp3,在飯店休息一晚,,名詞,,12職業與經濟
12-7,加,gaˇ,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-007.mp3,加,"加法
加五十個銀分你",https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-007s.mp3,"加法
加五十元給你。",,動詞,,12職業與經濟
12-8,減,gamˋ【gam^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-008.mp3,減,"減法
這飯添忒多，減兜分你好無?",https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-008s.mp3,"減法
這飯添太多，攤一些給你好嗎？",,動詞,,12職業與經濟
12-9,耕田(耕種),gangˇ tien(gangˇ zhungˋ )【gangˇ tenˋ(gangˇ zung^)/gangˇ tienˋ(gangˇ zung^ )】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-009.mp3,耕田；農作,"耕田人煞猛耕田
耕田愛照節氣來做事",https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-009s.mp3,"農夫努力耕田
耕田要依照節氣來工作。",,動詞,,12職業與經濟
12-10,耕田人,gangˇtien ngin【gangˇtenˋnginˋ/gangˇtienˋnginˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-010.mp3,種田人、農夫,𠊎（吾）太係耕田人，𠊎（吾）爸乜係。,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-010s.mp3,我的曾祖父是農夫，我爸爸也是。,,名詞,,12職業與經濟
12-11,記者,giˋ zhaˋ【gi^ za^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-011.mp3,記者,記者等下愛來採訪，你準備一下！,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-011s.mp3,記者等一下要來採訪，你準備一下。,,名詞,,12職業與經濟
12-12,貴,guiˋ【gui^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-012.mp3,貴,這下麼个就貴，還衰過！,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-012s.mp3,現在什麼都貴，真可憐。,,形容詞,,12職業與經濟
12-13,工廠,gungˇ chong【gungˇ congˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-013.mp3,工廠,阿爸在工廠上班。,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-013s.mp3,爸爸在工廠上班。,,名詞,,12職業與經濟
12-14,工人,gungˇ ngin【gungˇ nginˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-014.mp3,工人,工人靠苦力賺錢（趁錢/賺錢）,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-014s.mp3,工人靠勞力賺錢,,名詞,,12職業與經濟
12-15,公司,gungˇ siiˇ,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-015.mp3,公司,公司賺（趁/賺）當多錢,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-015s.mp3,公司賺很多錢,,名詞,,12職業與經濟
12-16,工業,gungˇ ngiab ,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-016.mp3,工業,工業區,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-016s.mp3,工業區,,名詞,,12職業與經濟
12-17,下班,haˇbanˇ,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-017.mp3,下班,六點正下班,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-017s.mp3,六點才下班,,動詞,,12職業與經濟
12-18,借,ziaˋ【zia^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-018.mp3,借,臨時愛用錢，做得摎（和／摎）你借兜仔無?,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-018s.mp3,臨時要用錢，可以跟你借一些嗎？,,動詞,,12職業與經濟
12-19,欠,kiamˋ【kiam^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-019.mp3,欠,欠數欠恁久，哪久愛還?,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-019s.mp3,欠債欠那麼久，何時要還？,,動詞,,12職業與經濟
12-20,旅館(旅社),liˇ guanˋ(liˇ shaˊ)【liˇ guan^(liˇ sa)/liˇ gon^(liˇ sa)】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-020.mp3,旅館,轉角新開一間旅館，異派頭,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-020s.mp3,轉角有一間新開的旅館，很氣派。,,名詞,,12職業與經濟
12-21,賣,miˊ【mi】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-021.mp3,賣,"這玩具無麼个心色，賣無人愛
賣忒（賣撇／賣忒）",https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-021s.mp3,"這玩具沒什麼趣味，賣不出去。
賣掉",,動詞,,12職業與經濟
12-22,買,miˇ,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-022.mp3,買,這禮拜咖啡買一送一,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-022s.mp3,這禮拜咖啡買一送一。,,動詞,,12職業與經濟
