編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-21,肝,gonˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-021.mp3,肝,你个肝無好，莫按輒輒耗夜。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-021s.mp3,你的肝不好，別這樣常常熬夜。,,名詞,,1人體與醫療
1-22,下頜,haˇ gabˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-022.mp3,下巴頦,𠊎个下頜無堵好去碰着，疾到討死！,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-022s.mp3,我的下巴頦不小心撞到，痛得要命！,,名詞,,1人體與醫療
1-23,口涎波,keu^ lanˇ pooˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-023.mp3,口沫,佢講事講到口涎波直直噴，足垃圾个！,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-023s.mp3,他說話說到口沫一直噴，真髒啊！,,名詞,,1人體與醫療
1-24,喉嗹,heuˋ lienˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-024.mp3,喉嚨,喉嗹疾,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-024s.mp3,喉嚨痛,,名詞,,1人體與醫療
1-25,逼着,bedˊ choo,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-025.mp3,中暑,恁熱，出去炙日頭會逼着。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-025s.mp3,那麼熱，出去晒太陽會中暑。,,動詞,,1人體與醫療
1-26,血管,fiedˊ guen^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-026.mp3,血管,佢血管塞着，落尾即中風啊。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-026s.mp3,他血管堵塞，後來就中風了。,,名詞,,1人體與醫療
1-27,毛管,hmˇ guen^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-027.mp3,汗毛,阿明弟个面面上有真多幼幼个毛管。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-027s.mp3,阿明弟的臉上有很多細細的汗毛。,,名詞,,1人體與醫療
1-28,醫學,rhiˇ hoo,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-028.mp3,醫學,現時个醫學真進步,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-028s.mp3,現在的醫學很進步,,名詞,,1人體與醫療
1-29,膴身,bbuˇ shinˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-029.mp3,身體、軀體,運動了後膴身有流汗，愛較緊捽燥來。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-029s.mp3,運動過後身體有流汗，要趕緊擦乾。,,名詞,,1人體與醫療
1-30,腰骨,rhiooˇ gudˊ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-030.mp3,腰部,做事一下跍一下企，嗄腰骨疾。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-030s.mp3,工作一下蹲一下站，結果腰痛。,,名詞,,1人體與醫療
1-31,腰子,rhiooˇ zii^/zu^  ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-031.mp3,腎臟,糖尿病若無控制好，腰子嘛會出問題。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-031s.mp3,糖尿病要是沒控制好，腎臟也會出問題。,,名詞,,1人體與醫療
1-32,營養,rhinˋ rhiong^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-032.mp3,營養,無營養个物件毋好直直食。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-032s.mp3,沒營養的東西不要一直吃。,,名詞,,1人體與醫療
1-33,藥水,rhioo fi^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-033.mp3,藥水,目藥水莫烏白點，舞到發炎即無法度啊。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-033s.mp3,眼藥水不要亂點，搞到發炎就不知如何是好了。,,名詞,,1人體與醫療
